"","year","marital","age","race","rincome","partyid","relig","denom","tvhours"
"84",2000,"Married",40,"Black","Refused","Ind,near dem","Protestant","Other",3
"85",2000,"Married",51,"Black","$3000 to 3999","Strong democrat","Protestant","Baptist-dk which",NA
"86",2000,"Divorced",75,"White","Not applicable","Strong democrat","Protestant","Am baptist asso",7
"87",2000,"Never married",22,"Black","$20000 - 24999","Independent","Protestant","Southern baptist",3
"88",2000,"Separated",53,"Black","$25000 or more","Strong democrat","Protestant","Baptist-dk which",1
"89",2000,"Never married",20,"White","$10000 - 14999","Ind,near dem","Catholic","Not applicable",2
"90",2000,"Widowed",80,"White","Not applicable","Not str democrat","Catholic","Not applicable",8
"91",2000,"Widowed",70,"White","Refused","Not str republican","Catholic","Not applicable",NA
"92",2000,"Married",45,"White","$25000 or more","Independent","Catholic","Not applicable",1
"93",2000,"Divorced",46,"White","$25000 or more","Not str democrat","Inter-nondenominational","Not applicable",2
"94",2000,"Never married",24,"White","$15000 - 19999","Ind,near dem","Catholic","Not applicable",3
"95",2000,"Never married",51,"White","$20000 - 24999","Not str republican","Catholic","Not applicable",NA
"96",2000,"Never married",32,"White","$25000 or more","Not str republican","Catholic","Not applicable",0
"97",2000,"Married",53,"White","Refused","Independent","Catholic","Not applicable",4
"98",2000,"Married",52,"White","Lt $1000","Ind,near dem","None","Not applicable",NA
"99",2000,"Widowed",83,"White","Not applicable","Not str republican","None","Not applicable",NA
"100",2000,"Divorced",39,"White","Refused","Independent","None","Not applicable",0
"101",2000,"Married",47,"White","Refused","Not str democrat","Protestant","Evangelical luth",2
"102",2000,"Married",45,"White","$25000 or more","Not str republican","Catholic","Not applicable",NA
"103",2000,"Married",48,"White","Not applicable","Independent","None","Not applicable",2
"104",2000,"Married",50,"Other","$25000 or more","Not str democrat","Hinduism","Not applicable",NA
"105",2000,"Widowed",78,"White","Not applicable","Not str democrat","Protestant","United methodist",NA
"106",2000,"Married",45,"White","Not applicable","Strong republican","Jewish","Not applicable",NA
"107",2000,"Divorced",56,"White","Refused","Not str democrat","Jewish","Not applicable",3
"108",2000,"Divorced",47,"White","$25000 or more","Strong democrat","Jewish","Not applicable",1
"109",2000,"Married",72,"White","$25000 or more","Strong democrat","Jewish","Not applicable",4
"110",2000,"Never married",29,"Other","$10000 - 14999","Ind,near dem","Protestant","Presbyterian c in us",3
"111",2000,"Married",26,"White","$20000 - 24999","Ind,near rep","None","Not applicable",NA
"112",2000,"Married",52,"Black","Refused","Strong democrat","None","Not applicable",2
"113",2000,"Separated",39,"Other","Refused","Not str democrat","Native american","Not applicable",1
"114",2000,"Married",30,"Other","$25000 or more","Not str democrat","None","Not applicable",1
"115",2000,"Never married",48,"Black","$25000 or more","Independent","None","Not applicable",2
"116",2000,"Divorced",62,"Black","$25000 or more","Strong democrat","Protestant","Episcopal",NA
"117",2000,"Divorced",57,"White","$25000 or more","Ind,near rep","Other","Not applicable",3
"118",2000,"Separated",60,"White","Not applicable","Independent","Catholic","Not applicable",3
"119",2000,"Married",47,"White","$10000 - 14999","Ind,near rep","Catholic","Not applicable",5
"120",2000,"Widowed",55,"White","Not applicable","Not str republican","Protestant","Episcopal",NA
"121",2000,"Separated",43,"White","Not applicable","Not str democrat","Catholic","Not applicable",1
"122",2000,"Divorced",31,"White","Not applicable","Not str democrat","Catholic","Not applicable",NA
"123",2000,"Married",44,"White","Not applicable","Not str democrat","Catholic","Not applicable",NA
"124",2000,"Divorced",40,"White","No answer","Ind,near rep","Protestant","No denomination",NA
"125",2000,"Never married",25,"White","Not applicable","Independent","Catholic","Not applicable",4
"126",2000,"Divorced",37,"White","$20000 - 24999","Independent","Catholic","Not applicable",3
"127",2000,"Divorced",56,"White","Refused","Independent","Protestant","Other",2
"128",2000,"Married",28,"White","Refused","Independent","Catholic","Not applicable",8
"129",2000,"Never married",36,"Black","Not applicable","Strong democrat","Protestant","Methodist-dk which",12
"130",2000,"Never married",35,"Black","Not applicable","Strong democrat","Protestant","Afr meth episcopal",NA
"131",2000,"Never married",23,"White","$3000 to 3999","Ind,near dem","Protestant","Lutheran-dk which",NA
"132",2000,"Married",30,"White","$10000 - 14999","Ind,near dem","Christian","Not applicable",NA
"133",2000,"Married",32,"White","$8000 to 9999","Ind,near dem","None","Not applicable",1
"134",2000,"Divorced",50,"Black","$10000 - 14999","Ind,near dem","Inter-nondenominational","Not applicable",2
"135",2000,"Widowed",38,"Black","$8000 to 9999","Ind,near dem","Protestant","Baptist-dk which",NA
"136",2000,"Never married",31,"White","$20000 - 24999","Ind,near rep","Christian","Not applicable",1
"137",2000,"Widowed",82,"Black","Not applicable","Strong democrat","Protestant","Baptist-dk which",4
"138",2000,"Divorced",73,"White","Not applicable","Not str democrat","Catholic","Not applicable",3
"139",2000,"Separated",57,"Black","Not applicable","Ind,near dem","None","Not applicable",0
"140",2000,"Widowed",60,"Black","Not applicable","Strong democrat","Catholic","Not applicable",NA
"141",2000,"Never married",76,"White","Not applicable","Not str republican","Protestant","Am bapt ch in usa",12
"142",2000,"Widowed",70,"Black","Not applicable","Not str democrat","Protestant","Baptist-dk which",5
"143",2000,"Widowed",87,"Black","Don't know","Strong democrat","Protestant","Baptist-dk which",10
"144",2000,"Widowed",70,"White","Not applicable","Not str democrat","Catholic","Not applicable",NA
"145",2000,"Widowed",78,"White","Not applicable","Not str republican","Protestant","United methodist",0
"146",2000,"Never married",32,"Black","$15000 - 19999","Strong democrat","None","Not applicable",NA
"147",2000,"Never married",58,"Black","$1000 to 2999","Not str democrat","Protestant","Other methodist",NA
"148",2000,"Never married",29,"Black","$8000 to 9999","Ind,near rep","None","Not applicable",2
"149",2000,"Never married",39,"Black","$25000 or more","Strong democrat","Protestant","Baptist-dk which",NA
"150",2000,"Never married",44,"Black","Not applicable","Not str democrat","Protestant","Other methodist",3
"151",2000,"Never married",40,"Other","$25000 or more","Independent","None","Not applicable",1
"152",2000,"Never married",36,"Other","Not applicable","Strong democrat","Catholic","Not applicable",5
"153",2000,"Married",52,"White","Refused","Not str republican","Catholic","Not applicable",1
"154",2000,"Married",41,"White","$20000 - 24999","Strong republican","Protestant","Am baptist asso",NA
"155",2000,"Separated",48,"Black","$25000 or more","Not str democrat","Protestant","Baptist-dk which",3
"156",2000,"Never married",33,"White","$20000 - 24999","Independent","None","Not applicable",4
"157",2000,"Widowed",65,"White","Not applicable","Strong democrat","Catholic","Not applicable",NA
"158",2000,"Widowed",41,"White","$25000 or more","Ind,near dem","Catholic","Not applicable",NA
"159",2000,"Married",58,"White","$25000 or more","Not str republican","Protestant","Am bapt ch in usa",2
"160",2000,"Married",48,"White","$25000 or more","Ind,near dem","Catholic","Not applicable",1
"161",2000,"Married",63,"Black","Not applicable","Strong democrat","Protestant","Baptist-dk which",6
"162",2000,"Married",43,"White","$15000 - 19999","Independent","Protestant","Other",NA
"163",2000,"Married",62,"White","$10000 - 14999","Ind,near dem","Protestant","No denomination",NA
"164",2000,"Never married",48,"White","$25000 or more","Independent","Catholic","Not applicable",NA
"165",2000,"Married",49,"White","No answer","Ind,near dem","None","Not applicable",2
"166",2000,"Divorced",48,"White","$25000 or more","Independent","Protestant","No denomination",4
"167",2000,"Never married",19,"White","$1000 to 2999","Not str republican","Catholic","Not applicable",NA
"168",2000,"Married",70,"White","Not applicable","Not str democrat","Catholic","Not applicable",NA
"169",2000,"Married",42,"White","$25000 or more","Not str republican","Protestant","Other lutheran",2
"170",2000,"Married",36,"White","Refused","Not str democrat","Catholic","Not applicable",1
"171",2000,"Never married",30,"White","$25000 or more","Independent","None","Not applicable",2
"172",2000,"Never married",32,"White","$20000 - 24999","Not str republican","Protestant","Luth ch in america",2
"173",2000,"Married",36,"White","$25000 or more","Strong republican","Protestant","Evangelical luth",5
"174",2000,"Married",38,"White","Not applicable","Strong republican","Protestant","Luth ch in america",15
"175",2000,"Married",58,"White","$25000 or more","Ind,near rep","Protestant","Luth ch in america",NA
"176",2000,"Married",47,"White","Not applicable","Other party","Catholic","Not applicable",1
"177",2000,"Married",55,"White","$25000 or more","Not str democrat","Catholic","Not applicable",NA
"178",2000,"Married",72,"White","Not applicable","Strong republican","Protestant","Presbyterian, merged",2
"179",2000,"Married",31,"White","Refused","Strong republican","Catholic","Not applicable",2
"180",2000,"Married",45,"White","Refused","Strong republican","Jewish","Not applicable",NA
"181",2000,"Married",45,"Other","Refused","Independent","None","Not applicable",0
"182",2000,"Widowed",85,"White","Not applicable","Ind,near rep","Protestant","Evangelical luth",2
"183",2000,"Widowed",48,"Black","$25000 or more","Not str republican","Catholic","Not applicable",1
"184",2000,"Married",50,"White","No answer","No answer","No answer","No answer",2
"185",2000,"Married",50,"White","$25000 or more","Not str democrat","Jewish","Not applicable",2
"186",2000,"Married",51,"White","$25000 or more","Strong democrat","Jewish","Not applicable",2
"187",2000,"Divorced",48,"White","$25000 or more","Strong democrat","Protestant","Episcopal",NA
"188",2000,"Married",45,"Black","Not applicable","Not str democrat","Protestant","Baptist-dk which",NA
"189",2000,"Married",39,"White","Lt $1000","Not str democrat","Jewish","Not applicable",NA
"190",2000,"Never married",38,"White","$25000 or more","Not str democrat","Protestant","Episcopal",1
"191",2000,"Never married",40,"White","$25000 or more","Strong democrat","Jewish","Not applicable",NA
"192",2000,"Never married",33,"White","$8000 to 9999","Not str democrat","None","Not applicable",1
"193",2000,"Divorced",56,"White","$25000 or more","Not str democrat","Catholic","Not applicable",NA
"194",2000,"Never married",67,"White","$25000 or more","Strong democrat","Protestant","Evangelical luth",1
"195",2000,"Never married",43,"Black","$25000 or more","Strong democrat","None","Not applicable",3
"196",2000,"Married",56,"White","Refused","Not str democrat","None","Not applicable",1
"197",2000,"Never married",48,"Black","Not applicable","Strong democrat","Protestant","Am baptist asso",NA
"198",2000,"Separated",32,"Other","Not applicable","Strong republican","Protestant","Other",4
"199",2000,"Never married",23,"Black","Not applicable","Ind,near rep","Protestant","Am baptist asso",8
"200",2000,"Never married",28,"Black","Not applicable","Not str republican","Catholic","Not applicable",6
"201",2000,"Divorced",48,"Black","$10000 - 14999","Strong democrat","Protestant","Am baptist asso",4
"202",2000,"Widowed",77,"Black","$3000 to 3999","Strong democrat","Catholic","Not applicable",2
"203",2000,"Separated",38,"Black","Not applicable","Ind,near dem","Protestant","Am baptist asso",10
"204",2000,"Married",40,"White","$10000 - 14999","Not str republican","Catholic","Not applicable",NA
"205",2000,"Married",39,"White","$3000 to 3999","Ind,near rep","Protestant","Am baptist asso",2
"206",2000,"Separated",30,"White","$25000 or more","Strong democrat","None","Not applicable",1
"207",2000,"Divorced",45,"White","$25000 or more","Independent","Inter-nondenominational","Not applicable",NA
"208",2000,"Divorced",52,"White","$8000 to 9999","Ind,near dem","None","Not applicable",2
"209",2000,"Never married",53,"White","$25000 or more","Not str democrat","Protestant","Other",3
"210",2000,"Married",53,"White","$10000 - 14999","Not str republican","Protestant","Episcopal",1
"211",2000,"Married",39,"White","$25000 or more","Not str democrat","Protestant","No denomination",NA
"212",2000,"Married",78,"White","Not applicable","Not str republican","Protestant","Other",5
"213",2000,"Married",41,"White","$25000 or more","Not str democrat","None","Not applicable",5
"214",2000,"Married",30,"White","Not applicable","Strong republican","Protestant","No denomination",11
"215",2000,"Never married",20,"White","$1000 to 2999","Independent","Catholic","Not applicable",NA
"216",2000,"Never married",26,"White","$8000 to 9999","Ind,near dem","Catholic","Not applicable",NA
"217",2000,"Never married",21,"White","$25000 or more","Ind,near dem","Catholic","Not applicable",5
"218",2000,"Married",31,"White","Lt $1000","Not str democrat","None","Not applicable",2
"219",2000,"Married",32,"Other","$25000 or more","Not str republican","Catholic","Not applicable",2
"220",2000,"Separated",45,"White","$25000 or more","Strong democrat","Protestant","Wi evan luth synod",1
"221",2000,"Married",28,"White","$25000 or more","Not str democrat","Catholic","Not applicable",NA
"222",2000,"Never married",21,"White","$20000 - 24999","Not str democrat","Catholic","Not applicable",3
"223",2000,"Married",36,"White","$25000 or more","Ind,near dem","None","Not applicable",NA
"224",2000,"Never married",35,"White","$15000 - 19999","Other party","None","Not applicable",2
"225",2000,"Divorced",38,"White","$25000 or more","Ind,near dem","Inter-nondenominational","Not applicable",NA
"226",2000,"Never married",NA,"White","Refused","Strong democrat","Catholic","Not applicable",2
"227",2000,"Never married",28,"White","$25000 or more","Other party","Protestant","No denomination",0
"228",2000,"Never married",62,"White","$8000 to 9999","Ind,near dem","Catholic","Not applicable",NA
"229",2000,"Married",53,"White","$25000 or more","Not str republican","Protestant","Other",NA
"230",2000,"Married",27,"Other","$25000 or more","Not str democrat","None","Not applicable",NA
"231",2000,"Never married",45,"White","Not applicable","Ind,near dem","Catholic","Not applicable",6
"232",2000,"Married",46,"White","$25000 or more","Not str democrat","Catholic","Not applicable",4
"233",2000,"Widowed",82,"White","Not applicable","Strong democrat","Protestant","Luth ch in america",4
"234",2000,"Married",56,"White","$25000 or more","Ind,near dem","Protestant","United methodist",5
"235",2000,"Never married",42,"White","$3000 to 3999","Ind,near dem","Catholic","Not applicable",NA
"236",2000,"Divorced",66,"White","Not applicable","Independent","Protestant","No denomination",8
"237",2000,"Married",36,"Other","$25000 or more","Strong republican","Christian","Not applicable",1
"238",2000,"Separated",49,"White","$25000 or more","Strong democrat","Other","Not applicable",1
"239",2000,"Married",72,"White","$25000 or more","Strong democrat","None","Not applicable",2
"240",2000,"Married",53,"White","Not applicable","Independent","Protestant","Other",2
"241",2000,"Married",42,"White","Not applicable","Not str republican","Protestant","No denomination",NA
"242",2000,"Widowed",79,"White","Not applicable","Strong republican","Protestant","Episcopal",1
"243",2000,"Married",50,"White","Not applicable","Strong republican","Catholic","Not applicable",1
"244",2000,"Widowed",50,"Other","Not applicable","Not str democrat","Protestant","Other",4
"245",2000,"Married",32,"White","$25000 or more","Not str republican","Catholic","Not applicable",NA
"246",2000,"Never married",20,"Other","$3000 to 3999","Strong democrat","None","Not applicable",NA
"247",2000,"Married",51,"White","$25000 or more","Ind,near dem","Protestant","Southern baptist",4
"248",2000,"Married",35,"Other","$6000 to 6999","Not str democrat","Buddhism","Not applicable",11
"249",2000,"Married",54,"Other","$15000 - 19999","Not str democrat","Catholic","Not applicable",1
"250",2000,"Widowed",65,"White","$6000 to 6999","Strong democrat","Catholic","Not applicable",0
"251",2000,"Married",36,"White","Not applicable","Ind,near rep","Catholic","Not applicable",4
"252",2000,"Married",48,"White","$25000 or more","Strong democrat","Jewish","Not applicable",NA
"253",2000,"Married",54,"White","Not applicable","Strong republican","Protestant","Other baptists",3
"254",2000,"Divorced",62,"White","Not applicable","Strong democrat","Protestant","Am lutheran",3
"255",2000,"Never married",51,"White","$25000 or more","Ind,near rep","None","Not applicable",4
"256",2000,"Married",38,"White","$4000 to 4999","Not str republican","None","Not applicable",NA
"257",2000,"Married",85,"White","Not applicable","Not str republican","None","Not applicable",2
"258",2000,"Divorced",67,"White","Not applicable","Strong republican","Protestant","Methodist-dk which",1
"259",2000,"Married",48,"White","$10000 - 14999","Strong republican","Protestant","Am baptist asso",1
"260",2000,"Never married",29,"White","$25000 or more","Independent","Catholic","Not applicable",NA
"261",2000,"Separated",64,"White","$25000 or more","Ind,near dem","Protestant","Methodist-dk which",1
"262",2000,"Divorced",26,"White","$25000 or more","Independent","Protestant","Baptist-dk which",NA
"263",2000,"Widowed",72,"White","Not applicable","Not str democrat","Protestant","Methodist-dk which",3
"264",2000,"Married",58,"White","$25000 or more","Strong republican","Catholic","Not applicable",NA
"265",2000,"Separated",45,"White","Not applicable","Not str democrat","None","Not applicable",8
"266",2000,"Widowed",49,"White","Refused","Independent","Catholic","Not applicable",NA
"267",2000,"Married",47,"White","$25000 or more","Independent","Catholic","Not applicable",3
"268",2000,"Never married",19,"White","No answer","Ind,near rep","Catholic","Not applicable",NA
"269",2000,"Never married",37,"White","Not applicable","Not str democrat","Catholic","Not applicable",1
"270",2000,"Married",24,"Black","Not applicable","Other party","Protestant","No denomination",6
"271",2000,"Married",43,"Black","$25000 or more","Other party","Protestant","Am baptist asso",4
"272",2000,"Never married",29,"White","$25000 or more","Independent","Protestant","United methodist",2
"273",2000,"Never married",26,"Other","$10000 - 14999","Not str democrat","None","Not applicable",2
"274",2000,"Never married",24,"White","$25000 or more","Independent","None","Not applicable",2
"275",2000,"Divorced",38,"Black","$15000 - 19999","Ind,near dem","None","Not applicable",5
"276",2000,"Widowed",60,"Black","Don't know","Strong democrat","Protestant","Baptist-dk which",4
"277",2000,"Separated",48,"Black","Not applicable","Strong democrat","Protestant","Am bapt ch in usa",NA
"278",2000,"Divorced",61,"Black","Not applicable","Strong democrat","Protestant","Other",3
"279",2000,"Widowed",59,"Black","Not applicable","Strong democrat","Protestant","Baptist-dk which",6
"280",2000,"Never married",59,"Black","Not applicable","Strong democrat","Protestant","Afr meth episcopal",NA
"281",2000,"Never married",31,"Black","Not applicable","Not str republican","Protestant","Afr meth episcopal",6
"282",2000,"Never married",34,"Black","$5000 to 5999","Ind,near dem","Protestant","Am bapt ch in usa",1
"283",2000,"Married",NA,"Black","Refused","Independent","Protestant","No denomination",1
"284",2000,"Married",32,"Black","$10000 - 14999","Independent","Catholic","Not applicable",4
"285",2000,"Never married",18,"Black","Not applicable","Ind,near rep","Catholic","Not applicable",NA
"286",2000,"Never married",32,"Black","$15000 - 19999","Strong democrat","Protestant","Southern baptist",NA
"287",2000,"Never married",42,"Black","Refused","Independent","Protestant","Baptist-dk which",6
"288",2000,"Divorced",38,"Black","Refused","Ind,near dem","Protestant","Southern baptist",NA
"289",2000,"Never married",25,"Black","$7000 to 7999","Not str democrat","Protestant","Baptist-dk which",NA
"290",2000,"Divorced",54,"Black","$8000 to 9999","Not str democrat","Protestant","Southern baptist",6
"291",2000,"Married",47,"Black","Lt $1000","Not str democrat","Protestant","Am lutheran",10
"292",2000,"Never married",31,"Black","$25000 or more","Strong democrat","Protestant","Baptist-dk which",1
"293",2000,"Separated",40,"Black","Refused","Independent","Catholic","Not applicable",3
"294",2000,"Separated",60,"Black","$15000 - 19999","Strong democrat","Protestant","Am bapt ch in usa",8
"295",2000,"Never married",34,"White","Not applicable","Not str republican","Protestant","Am lutheran",NA
"296",2000,"Married",36,"White","$25000 or more","Strong republican","Protestant","No denomination",NA
"297",2000,"Never married",43,"Black","Not applicable","Strong democrat","None","Not applicable",2
"298",2000,"Divorced",28,"Black","$15000 - 19999","Strong democrat","Protestant","Am baptist asso",NA
"299",2000,"Never married",34,"Black","$10000 - 14999","Not str democrat","None","Not applicable",0
"300",2000,"Never married",44,"Black","$15000 - 19999","Strong democrat","Protestant","Southern baptist",5
"301",2000,"Never married",22,"Black","No answer","Strong democrat","None","Not applicable",NA
"302",2000,"Never married",24,"Black","Not applicable","Ind,near rep","Catholic","Not applicable",7
"303",2000,"Divorced",31,"Black","$3000 to 3999","Independent","None","Not applicable",3
"304",2000,"Divorced",45,"White","$25000 or more","Not str democrat","Catholic","Not applicable",3
"305",2000,"Married",71,"White","Not applicable","Not str republican","Protestant","United methodist",1
"306",2000,"Married",65,"White","Not applicable","Ind,near rep","Catholic","Not applicable",2
"307",2000,"Married",40,"White","Not applicable","Not str democrat","Protestant","Evangelical luth",NA
"308",2000,"Married",59,"White","$25000 or more","Other party","None","Not applicable",1
"309",2000,"Married",38,"White","$15000 - 19999","Not str republican","Catholic","Not applicable",1
"310",2000,"Divorced",73,"White","$25000 or more","Ind,near dem","Protestant","No denomination",NA
"311",2000,"Married",31,"White","$25000 or more","Not str republican","Catholic","Not applicable",1
"312",2000,"Married",44,"White","$6000 to 6999","Ind,near rep","Protestant","Presbyterian c in us",NA
"313",2000,"Married",34,"White","$25000 or more","Ind,near dem","Protestant","Presbyterian c in us",3
"314",2000,"Never married",26,"White","$25000 or more","Ind,near dem","Protestant","Other",0
"315",2000,"Married",38,"Black","$25000 or more","Not str democrat","Protestant","Other baptists",2
"316",2000,"Never married",29,"White","$25000 or more","Ind,near dem","None","Not applicable",3
"317",2000,"Never married",36,"Other","$25000 or more","Ind,near dem","Moslem/islam","Not applicable",1
"318",2000,"Married",32,"White","$25000 or more","Strong democrat","None","Not applicable",NA
"319",2000,"Married",26,"White","$5000 to 5999","Ind,near dem","Protestant","Evangelical luth",3
"320",2000,"Married",47,"White","$25000 or more","Independent","Orthodox-christian","Not applicable",1
"321",2000,"Divorced",37,"White","$25000 or more","Not str democrat","Catholic","Not applicable",NA
"322",2000,"Never married",29,"White","$25000 or more","Strong democrat","Jewish","Not applicable",NA
"323",2000,"Never married",37,"Other","$25000 or more","Ind,near rep","Buddhism","Not applicable",NA
"324",2000,"Married",35,"White","Refused","Strong republican","Protestant","Other",0
